as_of_year,respondent_id,agency_name,agency_abbr,agency_code,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,preapproval_name,preapproval,action_taken_name,action_taken,msamd_name,msamd,state_name,state_abbr,state_code,county_name,county_code,census_tract_number,applicant_ethnicity_name,applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_race_name_2,applicant_race_2,applicant_race_name_3,applicant_race_3,applicant_race_name_4,applicant_race_4,applicant_race_name_5,applicant_race_5,co_applicant_race_name_1,co_applicant_race_1,co_applicant_race_name_2,co_applicant_race_2,co_applicant_race_name_3,co_applicant_race_3,co_applicant_race_name_4,co_applicant_race_4,co_applicant_race_name_5,co_applicant_race_5,applicant_sex_name,applicant_sex,co_applicant_sex_name,co_applicant_sex,applicant_income_000s,purchaser_type_name,purchaser_type,denial_reason_name_1,denial_reason_1,denial_reason_name_2,denial_reason_2,denial_reason_name_3,denial_reason_3,rate_spread,hoepa_status_name,hoepa_status,lien_status_name,lien_status,edit_status_name,edit_status,sequence_number,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,application_date_indicator
2017,15802,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,210,Not applicable,3,Application approved but not accepted,2,"Dutchess County, Putnam County - NY",20524,New York,NY,36,Dutchess County,27,2101.01,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,189,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5019,40.29000092,97100,61.83000183,838,1431,
2017,52-2323186,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,428,Preapproval was not requested,2,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1194,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,128,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3626,100,73700,58.50999832,371,1240,
2017,22-3039688,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,452,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1166,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,44,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2865,97.44999695,73700,49.40000153,194,958,
2017,20-8921389,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,656,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Bronx County,5,240,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Asian,2,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,Male,1,Female,2,104,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3963,94.93000031,73700,49.81999969,315,1092,
2017,95-4762204,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,380,Preapproval was not requested,2,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,509,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,9,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4104,8.479999542,73700,42.84000015,182,399,
2017,20-2355296,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,525,Preapproval was not requested,2,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Bronx County,5,392,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,161,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1750,97.37000275,73700,51.61000061,82,285,
2017,32-0117926,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,325,Not applicable,3,Application approved but not accepted,2,"Nassau County, Suffolk County - NY",35004,New York,NY,36,Nassau County,59,4168.02,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,98,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3762,4.860000134,110800,114.6600037,1289,1184,
2017,26-4599244,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,375,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1026,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,320,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2508,96.73000336,73700,106.6699982,454,943,
2017,11-3073502,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1343,Preapproval was not requested,2,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,494,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,280,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5574,48.83000183,73700,77.33000183,594,474,
2017,2760,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,248,Not applicable,3,Application approved but not accepted,2,"Nassau County, Suffolk County - NY",35004,New York,NY,36,Nassau County,59,4062.02,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Black or African American,3,,,,,,,,,Black or African American,3,,,,,,,,,Male,1,Female,2,104,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6569,98.48000336,110800,104.0400009,1327,1622,
2017,60153,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,177,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Bronx County,5,243,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,49,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5748,98.91999817,73700,27.72999954,98,313,
2017,24382,National Credit Union Administration,NCUA,5,Conventional,1,Manufactured housing,2,Home purchase,1,Owner-occupied as a principal dwelling,1,67,Not applicable,3,Application approved but not accepted,2,,,New York,NY,36,Cayuga County,11,403,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,67,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4007,3.440000057,62500,91.93000031,1333,1756,
2017,13-6131491,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,720,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Queens County,81,7,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,152,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5815,40.16999817,73700,192.4400024,971,1004,
2017,501105,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,284,Preapproval was not requested,2,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1070,Hispanic or Latino,1,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,65,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1141,99.38999939,73700,110.3499985,220,341,
2017,37-1542226,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,224,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,460,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,121,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4028,52.86000061,73700,65.05999756,469,450,
2017,02-0594137,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,3000,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,458,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,1178,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1651,2.730000019,73700,95.41999817,339,302,
2017,13126,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,600,Not applicable,3,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,New York County,61,134,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,348,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,11688,20.13999939,73700,248.6100006,2417,588,
2017,11-3073502,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,466,Preapproval was not requested,2,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1018,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Black or African American,3,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,105,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,1718,97.95999908,73700,133.5899963,492,522,
2017,480228,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,900,Preapproval was not requested,2,Application approved but not accepted,2,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,New York County,61,80,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Asian,2,,,,,,,,,Asian,2,,,,,,,,,Female,2,Male,1,239,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5045,19.20999908,73700,346.9899902,1478,67,
2017,11-3019327,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,356,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,626,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,115,Loan was not originated or was not sold in calendar year covered by register,0,Other,9,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2670,45.54000092,73700,81.41000366,665,682,
2017,20-0193314,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,Manufactured housing,2,Home purchase,1,Owner-occupied as a principal dwelling,1,58,Not applicable,3,Application denied by financial institution,3,"Utica, Rome - NY",46540,New York,NY,36,Oneida County,65,230,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,25,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6135,9.050000191,62100,134.2799988,2143,2490,
2017,3303298,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,360,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1502,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,100,Loan was not originated or was not sold in calendar year covered by register,0,Unverifiable information,6,Collateral,4,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2946,35.34000015,73700,157.9700012,542,908,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,332,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Orange County,71,133,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,270,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,7497,17.19000053,73700,169.0899963,2121,2763,
2017,451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,200,Not applicable,3,Application denied by financial institution,3,"Dutchess County, Putnam County - NY",20524,New York,NY,36,Putnam County,79,114,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,37,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,"Insufficient cash (downpayment, closing costs)",5,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5085,14.98999977,97100,135.4600067,1523,1780,
2017,480228,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,126,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,610.04,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,45,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6231,14.67000008,73700,55.54000092,418,606,
2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,200,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1208,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,93,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5,Credit application incomplete,7,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,8566,98.65000153,73700,53.09999847,641,1893,
2017,1354,Office of the Comptroller of the Currency,OCC,1,Conventional,1,Manufactured housing,2,Home purchase,1,Owner-occupied as a principal dwelling,1,23,Not applicable,3,Application denied by financial institution,3,Rochester - NY,40380,New York,NY,36,Livingston County,51,302.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,42,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,Collateral,4,Other,9,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5875,5.860000134,68500,104.6500015,1854,2612,
2017,58675,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,480,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,1208,Not applicable,4,No co-applicant,5,Not applicable,7,,,,,,,,,No co-applicant,8,,,,,,,,,Not applicable,4,No co-applicant,5,,Loan was not originated or was not sold in calendar year covered by register,0,Credit history,3,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,8566,98.65000153,73700,53.09999847,641,1893,
2017,06-1484285,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,212,Preapproval was not requested,2,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,600,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,119,Loan was not originated or was not sold in calendar year covered by register,0,Other,9,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5984,16.70999908,73700,103.7200012,1108,1345,
2017,13292,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,Manufactured housing,2,Home purchase,1,Owner-occupied as a principal dwelling,1,19,Not applicable,3,Application denied by financial institution,3,Rochester - NY,40380,New York,NY,36,Livingston County,51,301,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,42,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1,Credit history,3,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4207,7.800000191,68500,102.1500015,1308,1702,
2017,476810,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,161,Preapproval was requested,1,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614,New York,NY,36,Kings County,47,600,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,72,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5,Unverifiable information,6,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5984,16.70999908,73700,103.7200012,1108,1345,
